"Time [us]","re(SP(DSi1)) [mV]","re(SP(DSi2)) [mV]","re(SP(DSi3)) [mV]","re(SP(DSi4)) [mV]","re(SP(DSq1)) [mV]","re(SP(DSq2)) [mV]","re(SP(DSq3)) [mV]","re(SP(DSq4)) [mV]"
0,1.30269638052321,-13.2947625066604,-43.4042080032288,-9.26176565305183,19.2454111673001,3.03278333515619,-22.4731002363207,-48.446424230183
0.125,1.30269638052321,-13.2947625066604,-43.4042080032288,-9.26176565305183,19.2454111673001,3.03278333515619,-22.4731002363207,-48.446424230183
0.25,1.30269638052321,-13.2947625066604,-43.4042080032288,-9.26176565305183,19.2454111673001,3.03278333515619,-22.4731002363207,-48.446424230183
0.375,1.30269638052321,-13.2947625066604,-43.4042080032288,-9.26176565305183,19.2454111673001,3.03278333515619,-22.4731002363207,-48.446424230183
0.5,1.30269638052321,-13.2947625066604,-43.4042080032288,-9.26176565305183,19.2454111673001,3.03278333515619,-22.4731002363207,-48.446424230183
0.625,1.30269638052321,-13.2947625066604,-43.4042080032288,-9.26176565305183,19.2454111673001,3.03278333515619,-22.4731002363207,-48.446424230183
0.75,1.30269638052321,-13.2947625066604,-43.4042080032288,-9.26176565305183,19.2454111673001,3.03278333515619,-22.4731002363207,-48.446424230183
0.875,1.30269638052321,-13.2947625066604,-43.4042080032288,-9.26176565305183,19.2454111673001,3.03278333515619,-22.4731002363207,-48.446424230183
1,19.6759618035331,3.17307919825306,-23.15562223545,-49.6580301560502,-1.33967840117481,13.5735397013565,44.7454164502614,9.45688227591749
1.125,19.6759618035331,3.17307919825306,-23.15562223545,-49.6580301560502,-1.33967840117481,13.5735397013565,44.7454164502614,9.45688227591749
1.25,19.6759618035331,3.17307919825306,-23.15562223545,-49.6580301560502,-1.33967840117481,13.5735397013565,44.7454164502614,9.45688227591749
1.375,19.6759618035331,3.17307919825306,-23.15562223545,-49.6580301560502,-1.33967840117481,13.5735397013565,44.7454164502614,9.45688227591749
1.5,19.6759618035331,3.17307919825306,-23.15562223545,-49.6580301560502,-1.33967840117481,13.5735397013565,44.7454164502614,9.45688227591749
1.625,19.6759618035331,3.17307919825306,-23.15562223545,-49.6580301560502,-1.33967840117481,13.5735397013565,44.7454164502614,9.45688227591749
1.75,19.6759618035331,3.17307919825306,-23.15562223545,-49.6580301560502,-1.33967840117481,13.5735397013565,44.7454164502614,9.45688227591749
1.875,19.6759618035331,3.17307919825306,-23.15562223545,-49.6580301560502,-1.33967840117481,13.5735397013565,44.7454164502614,9.45688227591749
2,-1.30737151326823,13.5954462714166,44.7467141627042,9.36917457040591,-19.6966032366137,-3.15672300381939,23.2871248915875,49.7232809686572
2.125,-1.30737151326823,13.5954462714166,44.7467141627042,9.36917457040591,-19.6966032366137,-3.15672300381939,23.2871248915875,49.7232809686572
2.25,-1.30737151326823,13.5954462714166,44.7467141627042,9.36917457040591,-19.6966032366137,-3.15672300381939,23.2871248915875,49.7232809686572
2.375,-1.30737151326823,13.5954462714166,44.7467141627042,9.36917457040591,-19.6966032366137,-3.15672300381939,23.2871248915875,49.7232809686572
2.5,-1.30737151326823,13.5954462714166,44.7467141627042,9.36917457040591,-19.6966032366137,-3.15672300381939,23.2871248915875,49.7232809686572
2.625,-1.30737151326823,13.5954462714166,44.7467141627042,9.36917457040591,-19.6966032366137,-3.15672300381939,23.2871248915875,49.7232809686572
2.75,-1.30737151326823,13.5954462714166,44.7467141627042,9.36917457040591,-19.6966032366137,-3.15672300381939,23.2871248915875,49.7232809686572
2.875,-1.30737151326823,13.5954462714166,44.7467141627042,9.36917457040591,-19.6966032366137,-3.15672300381939,23.2871248915875,49.7232809686572
3,-19.6810154264363,-3.14327716403664,23.3003456459256,49.6818293581776,1.29308034822354,-13.5886406573673,-44.6754403584725,-9.32537242923197
3.125,-19.6810154264363,-3.14327716403664,23.3003456459256,49.6818293581776,1.29308034822354,-13.5886406573673,-44.6754403584725,-9.32537242923197
3.25,-19.6810154264363,-3.14327716403664,23.3003456459256,49.6818293581776,1.29308034822354,-13.5886406573673,-44.6754403584725,-9.32537242923197
3.375,-19.6810154264363,-3.14327716403664,23.3003456459256,49.6818293581776,1.29308034822354,-13.5886406573673,-44.6754403584725,-9.32537242923197
3.5,-19.6810154264363,-3.14327716403664,23.3003456459256,49.6818293581776,1.29308034822354,-13.5886406573673,-44.6754403584725,-9.32537242923197
3.625,-19.6810154264363,-3.14327716403664,23.3003456459256,49.6818293581776,1.29308034822354,-13.5886406573673,-44.6754403584725,-9.32537242923197
3.75,-19.6810154264363,-3.14327716403664,23.3003456459256,49.6818293581776,1.29308034822354,-13.5886406573673,-44.6754403584725,-9.32537242923197
3.875,-19.6810154264363,-3.14327716403664,23.3003456459256,49.6818293581776,1.29308034822354,-13.5886406573673,-44.6754403584725,-9.32537242923197
4,1.30287825871665,-13.5787735682112,-44.6609497073456,-9.3509998709066,19.6699052778865,3.14702210324882,-23.2516926838528,-49.6482459771157
4.125,1.30287825871665,-13.5787735682112,-44.6609497073456,-9.3509998709066,19.6699052778865,3.14702210324882,-23.2516926838528,-49.6482459771157
4.25,1.30287825871665,-13.5787735682112,-44.6609497073456,-9.3509998709066,19.6699052778865,3.14702210324882,-23.2516926838528,-49.6482459771157
4.375,1.30287825871665,-13.5787735682112,-44.6609497073456,-9.3509998709066,19.6699052778865,3.14702210324882,-23.2516926838528,-49.6482459771157
4.5,1.30287825871665,-13.5787735682112,-44.6609497073456,-9.3509998709066,19.6699052778865,3.14702210324882,-23.2516926838528,-49.6482459771157
4.625,1.30287825871665,-13.5787735682112,-44.6609497073456,-9.3509998709066,19.6699052778865,3.14702210324882,-23.2516926838528,-49.6482459771157
4.75,1.30287825871665,-13.5787735682112,-44.6609497073456,-9.3509998709066,19.6699052778865,3.14702210324882,-23.2516926838528,-49.6482459771157
4.875,1.30287825871665,-13.5787735682112,-44.6609497073456,-9.3509998709066,19.6699052778865,3.14702210324882,-23.2516926838528,-49.6482459771157
5,19.6767611282829,3.15486810631391,-23.2374455520717,-49.6658934977982,-1.3120663588287,13.5810398565127,44.6975573121972,9.37852156162039
5.125,19.6767611282829,3.15486810631391,-23.2374455520717,-49.6658934977982,-1.3120663588287,13.5810398565127,44.6975573121972,9.37852156162039
5.25,19.6767611282829,3.15486810631391,-23.2374455520717,-49.6658934977982,-1.3120663588287,13.5810398565127,44.6975573121972,9.37852156162039
5.375,19.6767611282829,3.15486810631391,-23.2374455520717,-49.6658934977982,-1.3120663588287,13.5810398565127,44.6975573121972,9.37852156162039
5.5,19.6767611282829,3.15486810631391,-23.2374455520717,-49.6658934977982,-1.3120663588287,13.5810398565127,44.6975573121972,9.37852156162039
5.625,19.6767611282829,3.15486810631391,-23.2374455520717,-49.6658934977982,-1.3120663588287,13.5810398565127,44.6975573121972,9.37852156162039
5.75,19.6767611282829,3.15486810631391,-23.2374455520717,-49.6658934977982,-1.3120663588287,13.5810398565127,44.6975573121972,9.37852156162039
5.875,19.6767611282829,3.15486810631391,-23.2374455520717,-49.6658934977982,-1.3120663588287,13.5810398565127,44.6975573121972,9.37852156162039
6,-1.30699678602463,13.5875751473278,44.7112904137814,9.36569390714903,-19.684656250118,-3.15346805371511,23.2665124298706,49.6893764649608
6.125,-1.30699678602463,13.5875751473278,44.7112904137814,9.36569390714903,-19.684656250118,-3.15346805371511,23.2665124298706,49.6893764649608
6.25,-1.30699678602463,13.5875751473278,44.7112904137814,9.36569390714903,-19.684656250118,-3.15346805371511,23.2665124298706,49.6893764649608
6.375,-1.30699678602463,13.5875751473278,44.7112904137814,9.36569390714903,-19.684656250118,-3.15346805371511,23.2665124298706,49.6893764649608
6.5,-1.30699678602463,13.5875751473278,44.7112904137814,9.36569390714903,-19.684656250118,-3.15346805371511,23.2665124298706,49.6893764649608
6.625,-1.30699678602463,13.5875751473278,44.7112904137814,9.36569390714903,-19.684656250118,-3.15346805371511,23.2665124298706,49.6893764649608
6.75,-1.30699678602463,13.5875751473278,44.7112904137814,9.36569390714903,-19.684656250118,-3.15346805371511,23.2665124298706,49.6893764649608
6.875,-1.30699678602463,13.5875751473278,44.7112904137814,9.36569390714903,-19.684656250118,-3.15346805371511,23.2665124298706,49.6893764649608
7,-19.680790901297,-3.14785735819161,23.2797196938985,49.6797858027638,1.30003504903438,-13.586743638379,-44.6874185740008,-9.34510920562999
7.125,-19.680790901297,-3.14785735819161,23.2797196938985,49.6797858027638,1.30003504903438,-13.586743638379,-44.6874185740008,-9.34510920562999
7.25,-19.680790901297,-3.14785735819161,23.2797196938985,49.6797858027638,1.30003504903438,-13.586743638379,-44.6874185740008,-9.34510920562999
7.375,-19.680790901297,-3.14785735819161,23.2797196938985,49.6797858027638,1.30003504903438,-13.586743638379,-44.6874185740008,-9.34510920562999
7.5,-19.680790901297,-3.14785735819161,23.2797196938985,49.6797858027638,1.30003504903438,-13.586743638379,-44.6874185740008,-9.34510920562999
7.625,-19.680790901297,-3.14785735819161,23.2797196938985,49.6797858027638,1.30003504903438,-13.586743638379,-44.6874185740008,-9.34510920562999
7.75,-19.680790901297,-3.14785735819161,23.2797196938985,49.6797858027638,1.30003504903438,-13.586743638379,-44.6874185740008,-9.34510920562999
7.875,-19.680790901297,-3.14785735819161,23.2797196938985,49.6797858027638,1.30003504903438,-13.586743638379,-44.6874185740008,-9.34510920562999
8,1.30303013105941,-13.5818237227434,-44.6746901387386,-9.35236736533074,19.6745377243608,3.14828649458971,-23.259663646639,-49.6613923916519
8.125,1.30303013105941,-13.5818237227434,-44.6746901387386,-9.35236736533074,19.6745377243608,3.14828649458971,-23.259663646639,-49.6613923916519
8.25,1.30303013105941,-13.5818237227434,-44.6746901387386,-9.35236736533074,19.6745377243608,3.14828649458971,-23.259663646639,-49.6613923916519
8.375,1.30303013105941,-13.5818237227434,-44.6746901387386,-9.35236736533074,19.6745377243608,3.14828649458971,-23.259663646639,-49.6613923916519
8.5,1.30303013105941,-13.5818237227434,-44.6746901387386,-9.35236736533074,19.6745377243608,3.14828649458971,-23.259663646639,-49.6613923916519
8.625,1.30303013105941,-13.5818237227434,-44.6746901387386,-9.35236736533074,19.6745377243608,3.14828649458971,-23.259663646639,-49.6613923916519
8.75,1.30303013105941,-13.5818237227434,-44.6746901387386,-9.35236736533074,19.6745377243608,3.14828649458971,-23.259663646639,-49.6613923916519
8.875,1.30303013105941,-13.5818237227434,-44.6746901387386,-9.35236736533074,19.6745377243608,3.14828649458971,-23.259663646639,-49.6613923916519
9,19.6768717604884,3.15266811549554,-23.2473583167237,-49.6668828962046,-1.30872464087318,13.5819523294715,44.6918108005752,9.36903811738053
9.125,19.6768717604884,3.15266811549554,-23.2473583167237,-49.6668828962046,-1.30872464087318,13.5819523294715,44.6918108005752,9.36903811738053
9.25,19.6768717604884,3.15266811549554,-23.2473583167237,-49.6668828962046,-1.30872464087318,13.5819523294715,44.6918108005752,9.36903811738053
9.375,19.6768717604884,3.15266811549554,-23.2473583167237,-49.6668828962046,-1.30872464087318,13.5819523294715,44.6918108005752,9.36903811738053
9.5,19.6768717604884,3.15266811549554,-23.2473583167237,-49.6668828962046,-1.30872464087318,13.5819523294715,44.6918108005752,9.36903811738053
9.625,19.6768717604884,3.15266811549554,-23.2473583167237,-49.6668828962046,-1.30872464087318,13.5819523294715,44.6918108005752,9.36903811738053
9.75,19.6768717604884,3.15266811549554,-23.2473583167237,-49.6668828962046,-1.30872464087318,13.5819523294715,44.6918108005752,9.36903811738053
9.875,19.6768717604884,3.15266811549554,-23.2473583167237,-49.6668828962046,-1.30872464087318,13.5819523294715,44.6918108005752,9.36903811738053
10,-1.30691199220514,13.5859006499734,44.7037442566968,9.36493918866828,-19.68211249071,-3.15277326447952,23.2621400040502,49.6821575507832
10.125,-1.30691199220514,13.5859006499734,44.7037442566968,9.36493918866828,-19.68211249071,-3.15277326447952,23.2621400040502,49.6821575507832
10.25,-1.30691199220514,13.5859006499734,44.7037442566968,9.36493918866828,-19.68211249071,-3.15277326447952,23.2621400040502,49.6821575507832
10.375,-1.30691199220514,13.5859006499734,44.7037442566968,9.36493918866828,-19.68211249071,-3.15277326447952,23.2621400040502,49.6821575507832
10.5,-1.30691199220514,13.5859006499734,44.7037442566968,9.36493918866828,-19.68211249071,-3.15277326447952,23.2621400040502,49.6821575507832
10.625,-1.30691199220514,13.5859006499734,44.7037442566968,9.36493918866828,-19.68211249071,-3.15277326447952,23.2621400040502,49.6821575507832
10.75,-1.30691199220514,13.5859006499734,44.7037442566968,9.36493918866828,-19.68211249071,-3.15277326447952,23.2621400040502,49.6821575507832
10.875,-1.30691199220514,13.5859006499734,44.7037442566968,9.36493918866828,-19.68211249071,-3.15277326447952,23.2621400040502,49.6821575507832
11,-19.6807234288622,-3.14918288363448,23.2737454879762,49.6791873878085,1.30204882755055,-13.5861934843676,-44.6908788963484,-9.35082408663609
11.125,-19.6807234288622,-3.14918288363448,23.2737454879762,49.6791873878085,1.30204882755055,-13.5861934843676,-44.6908788963484,-9.35082408663609
11.25,-19.6807234288622,-3.14918288363448,23.2737454879762,49.6791873878085,1.30204882755055,-13.5861934843676,-44.6908788963484,-9.35082408663609
11.375,-19.6807234288622,-3.14918288363448,23.2737454879762,49.6791873878085,1.30204882755055,-13.5861934843676,-44.6908788963484,-9.35082408663609
11.5,-19.6807234288622,-3.14918288363448,23.2737454879762,49.6791873878085,1.30204882755055,-13.5861934843676,-44.6908788963484,-9.35082408663609
11.625,-19.6807234288622,-3.14918288363448,23.2737454879762,49.6791873878085,1.30204882755055,-13.5861934843676,-44.6908788963484,-9.35082408663609
11.75,-19.6807234288622,-3.14918288363448,23.2737454879762,49.6791873878085,1.30204882755055,-13.5861934843676,-44.6908788963484,-9.35082408663609
11.875,-19.6807234288622,-3.14918288363448,23.2737454879762,49.6791873878085,1.30204882755055,-13.5861934843676,-44.6908788963484,-9.35082408663609
12,1.30308540289722,-13.5829051502062,-44.6795646312874,-9.3528562117328,19.6761807571654,3.14873544046739,-23.2624861843024,-49.666055134179
12.125,1.30308540289722,-13.5829051502062,-44.6795646312874,-9.3528562117328,19.6761807571654,3.14873544046739,-23.2624861843024,-49.666055134179
12.25,1.30308540289722,-13.5829051502062,-44.6795646312874,-9.3528562117328,19.6761807571654,3.14873544046739,-23.2624861843024,-49.666055134179
12.375,1.30308540289722,-13.5829051502062,-44.6795646312874,-9.3528562117328,19.6761807571654,3.14873544046739,-23.2624861843024,-49.666055134179
12.5,1.30308540289722,-13.5829051502062,-44.6795646312874,-9.3528562117328,19.6761807571654,3.14873544046739,-23.2624861843024,-49.666055134179
12.625,1.30308540289722,-13.5829051502062,-44.6795646312874,-9.3528562117328,19.6761807571654,3.14873544046739,-23.2624861843024,-49.666055134179
12.75,1.30308540289722,-13.5829051502062,-44.6795646312874,-9.3528562117328,19.6761807571654,3.14873544046739,-23.2624861843024,-49.666055134179
12.875,1.30308540289722,-13.5829051502062,-44.6795646312874,-9.3528562117328,19.6761807571654,3.14873544046739,-23.2624861843024,-49.666055134179
13,19.6769181075204,3.15176429276995,-23.251432566946,-49.6672918870178,-1.30735138148378,13.5823276146933,44.6894521936389,9.36514096364929
13.125,19.6769181075204,3.15176429276995,-23.251432566946,-49.6672918870178,-1.30735138148378,13.5823276146933,44.6894521936389,9.36514096364929
13.25,19.6769181075204,3.15176429276995,-23.251432566946,-49.6672918870178,-1.30735138148378,13.5823276146933,44.6894521936389,9.36514096364929
13.375,19.6769181075204,3.15176429276995,-23.251432566946,-49.6672918870178,-1.30735138148378,13.5823276146933,44.6894521936389,9.36514096364929
13.5,19.6769181075204,3.15176429276995,-23.251432566946,-49.6672918870178,-1.30735138148378,13.5823276146933,44.6894521936389,9.36514096364929
13.625,19.6769181075204,3.15176429276995,-23.251432566946,-49.6672918870178,-1.30735138148378,13.5823276146933,44.6894521936389,9.36514096364929
13.75,19.6769181075204,3.15176429276995,-23.251432566946,-49.6672918870178,-1.30735138148378,13.5823276146933,44.6894521936389,9.36514096364929
13.875,19.6769181075204,3.15176429276995,-23.251432566946,-49.6672918870178,-1.30735138148378,13.5823276146933,44.6894521936389,9.36514096364929
14,-1.30687237124582,13.5851301101812,44.7002706026984,9.36459020521083,-19.6809416940612,-3.15245327082051,23.2601294815121,49.6788349648023
14.125,-1.30687237124582,13.5851301101812,44.7002706026984,9.36459020521083,-19.6809416940612,-3.15245327082051,23.2601294815121,49.6788349648023
14.25,-1.30687237124582,13.5851301101812,44.7002706026984,9.36459020521083,-19.6809416940612,-3.15245327082051,23.2601294815121,49.6788349648023
14.375,-1.30687237124582,13.5851301101812,44.7002706026984,9.36459020521083,-19.6809416940612,-3.15245327082051,23.2601294815121,49.6788349648023
14.5,-1.30687237124582,13.5851301101812,44.7002706026984,9.36459020521083,-19.6809416940612,-3.15245327082051,23.2601294815121,49.6788349648023
14.625,-1.30687237124582,13.5851301101812,44.7002706026984,9.36459020521083,-19.6809416940612,-3.15245327082051,23.2601294815121,49.6788349648023
14.75,-1.30687237124582,13.5851301101812,44.7002706026984,9.36459020521083,-19.6809416940612,-3.15245327082051,23.2601294815121,49.6788349648023
14.875,-1.30687237124582,13.5851301101812,44.7002706026984,9.36459020521083,-19.6809416940612,-3.15245327082051,23.2601294815121,49.6788349648023
15,-19.6806890001726,-3.14985088626824,23.2707339198026,49.6788846190828,1.303063858117,-13.5859160357926,-44.6926216750781,-9.35370462526166
15.125,-19.6806890001726,-3.14985088626824,23.2707339198026,49.6788846190828,1.303063858117,-13.5859160357926,-44.6926216750781,-9.35370462526166
15.25,-19.6806890001726,-3.14985088626824,23.2707339198026,49.6788846190828,1.303063858117,-13.5859160357926,-44.6926216750781,-9.35370462526166
15.375,-19.6806890001726,-3.14985088626824,23.2707339198026,49.6788846190828,1.303063858117,-13.5859160357926,-44.6926216750781,-9.35370462526166
15.5,-19.6806890001726,-3.14985088626824,23.2707339198026,49.6788846190828,1.303063858117,-13.5859160357926,-44.6926216750781,-9.35370462526166
15.625,-19.6806890001726,-3.14985088626824,23.2707339198026,49.6788846190828,1.303063858117,-13.5859160357926,-44.6926216750781,-9.35370462526166
15.75,-19.6806890001726,-3.14985088626824,23.2707339198026,49.6788846190828,1.303063858117,-13.5859160357926,-44.6926216750781,-9.35370462526166
15.875,-19.6806890001726,-3.14985088626824,23.2707339198026,49.6788846190828,1.303063858117,-13.5859160357926,-44.6926216750781,-9.35370462526166
16,1.30311574379139,-13.5834926532523,-44.6822134035458,-9.35312266613522,19.6770734944601,3.14897948257107,-23.2640187920432,-49.6685886178348
16.125,1.30311574379139,-13.5834926532523,-44.6822134035458,-9.35312266613522,19.6770734944601,3.14897948257107,-23.2640187920432,-49.6685886178348
16.25,1.30311574379139,-13.5834926532523,-44.6822134035458,-9.35312266613522,19.6770734944601,3.14897948257107,-23.2640187920432,-49.6685886178348
16.375,1.30311574379139,-13.5834926532523,-44.6822134035458,-9.35312266613522,19.6770734944601,3.14897948257107,-23.2640187920432,-49.6685886178348
16.5,1.30311574379139,-13.5834926532523,-44.6822134035458,-9.35312266613522,19.6770734944601,3.14897948257107,-23.2640187920432,-49.6685886178348
16.625,1.30311574379139,-13.5834926532523,-44.6822134035458,-9.35312266613522,19.6770734944601,3.14897948257107,-23.2640187920432,-49.6685886178348
16.75,1.30311574379139,-13.5834926532523,-44.6822134035458,-9.35312266613522,19.6770734944601,3.14897948257107,-23.2640187920432,-49.6685886178348
16.875,1.30311574379139,-13.5834926532523,-44.6822134035458,-9.35312266613522,19.6770734944601,3.14897948257107,-23.2640187920432,-49.6685886178348
17,19.6769451774963,3.15124105371036,-23.2537916988729,-49.6675293299055,-1.30655627589389,13.5825449844288,44.6880873495651,9.36288454802128
17.125,19.6769451774963,3.15124105371036,-23.2537916988729,-49.6675293299055,-1.30655627589389,13.5825449844288,44.6880873495651,9.36288454802128
17.25,19.6769451774963,3.15124105371036,-23.2537916988729,-49.6675293299055,-1.30655627589389,13.5825449844288,44.6880873495651,9.36288454802128
17.375,19.6769451774963,3.15124105371036,-23.2537916988729,-49.6675293299055,-1.30655627589389,13.5825449844288,44.6880873495651,9.36288454802128
