"d_phi_p [deg]","fc [GHz]","Time [us]","re(SP(i1)) [mV]","re(SP(i2)) [mV]","re(SP(i3)) [mV]","re(SP(i4)) [mV]","re(SP(q1)) [mV]","re(SP(q2)) [mV]","re(SP(q3)) [mV]","re(SP(q4)) [mV]"
0,2.428,0,62.5846513598996,57.3194540495772,57.3443811798144,62.7421443549106,-39.8896142715147,-17.0527957914123,-14.3176553729669,-37.1410445976991
0,2.428,8,62.5855380682038,57.3206300710251,57.3458177894674,62.7432650343397,-39.8901637567168,-17.051213059336,-14.3158556019212,-37.1415357433657
0,2.428,16,62.5861681476416,57.3214650355534,57.346837306043,62.7440609560017,-39.8905542841237,-17.0500917447713,-14.3145803217751,-37.1418848185616
0,2.428,24,62.586800787379,57.322302814948,57.3478598746312,62.7448597683541,-39.8909464589409,-17.048968654097,-14.3133028546904,-37.1422353750837
0,2.428,32,62.5876998577187,57.3234924275483,57.3493112204463,62.7459944050507,-39.8915038984284,-17.0473773464346,-14.3114925244414,-37.1427336731231
0,2.428,40,62.5898916630592,57.3263877147668,57.3528403025997,62.7487576247988,-39.8928633617292,-17.043521141058,-14.3071041653278,-37.1439489774726
0,2.428,48,62.1360606096264,56.7974630104411,56.7484509964631,62.2140109091926,-39.6084594168366,-17.5432769963832,-14.8934665099482,-36.8899270818642
0,2.428,56,62.1360606096264,56.7974630104411,56.7484509964631,62.2140109091926,-39.6084594168366,-17.5432769963832,-14.8934665099482,-36.8899270818642
0,2.428,64,62.1360606096264,56.7974630104411,56.7484509964631,62.2140109091926,-39.6084594168366,-17.5432769963832,-14.8934665099482,-36.8899270818642
0,2.428,72,62.1360606096264,56.7974630104411,56.7484509964631,62.2140109091926,-39.6084594168366,-17.5432769963832,-14.8934665099482,-36.8899270818642
0,2.428,80,62.1360606096264,56.7974630104411,56.7484509964631,62.2140109091926,-39.6084594168366,-17.5432769963832,-14.8934665099482,-36.8899270818642
0,2.428,88,62.1360606096264,56.7974630104411,56.7484509964631,62.2140109091926,-39.6084594168366,-17.5432769963832,-14.8934665099482,-36.8899270818642
0,2.428,96,62.1360606096264,56.7974630104411,56.7484509964631,62.2140109091926,-39.6084594168366,-17.5432769963832,-14.8934665099482,-36.8899270818642
0,2.428,104,62.1360606096264,56.7974630104411,56.7484509964631,62.2140109091926,-39.6084594168366,-17.5432769963832,-14.8934665099482,-36.8899270818642
0,2.428,112,62.1360606096264,56.7974630104411,56.7484509964631,62.2140109091926,-39.6084594168366,-17.5432769963832,-14.8934665099482,-36.8899270818642
0,2.428,120,62.1360606096264,56.7974630104411,56.7484509964631,62.2140109091926,-39.6084594168366,-17.5432769963832,-14.8934665099482,-36.8899270818642
0,2.428,128,62.1360606096264,56.7974630104411,56.7484509964631,62.2140109091926,-39.6084594168366,-17.5432769963832,-14.8934665099482,-36.8899270818642
0,2.428,136,62.1360606096264,56.7974630104411,56.7484509964631,62.2140109091926,-39.6084594168366,-17.5432769963832,-14.8934665099482,-36.8899270818642
1,2.428,0,62.5846513598996,57.3194540495772,57.3443811798144,62.7421443549106,-39.8896142715147,-17.0527957914123,-14.3176553729669,-37.1410445976991
1,2.428,8,62.5855380682038,57.3206300710251,57.3458177894674,62.7432650343397,-39.8901637567168,-17.051213059336,-14.3158556019212,-37.1415357433657
1,2.428,16,62.5861681476416,57.3214650355534,57.346837306043,62.7440609560017,-39.8905542841237,-17.0500917447713,-14.3145803217751,-37.1418848185616
1,2.428,24,62.586800787379,57.322302814948,57.3478598746312,62.7448597683541,-39.8909464589409,-17.048968654097,-14.3133028546904,-37.1422353750837
1,2.428,32,62.5876998577187,57.3234924275483,57.3493112204463,62.7459944050507,-39.8915038984284,-17.0473773464346,-14.3114925244414,-37.1427336731231
1,2.428,40,62.5898916630592,57.3263877147668,57.3528403025997,62.7487576247988,-39.8928633617292,-17.043521141058,-14.3071041653278,-37.1439489774726
1,2.428,48,62.1360606096264,56.7974630104411,56.7484509964631,62.2140109091926,-39.6084594168366,-17.5432769963832,-14.8934665099482,-36.8899270818642
1,2.428,56,62.1360606096264,56.7974630104411,56.7484509964631,62.2140109091926,-39.6084594168366,-17.5432769963832,-14.8934665099482,-36.8899270818642
1,2.428,64,62.1360606096264,56.7974630104411,56.7484509964631,62.2140109091926,-39.6084594168366,-17.5432769963832,-14.8934665099482,-36.8899270818642
1,2.428,72,62.1360606096264,56.7974630104411,56.7484509964631,62.2140109091926,-39.6084594168366,-17.5432769963832,-14.8934665099482,-36.8899270818642
1,2.428,80,62.1360606096264,56.7974630104411,56.7484509964631,62.2140109091926,-39.6084594168366,-17.5432769963832,-14.8934665099482,-36.8899270818642
1,2.428,88,62.1360606096264,56.7974630104411,56.7484509964631,62.2140109091926,-39.6084594168366,-17.5432769963832,-14.8934665099482,-36.8899270818642
1,2.428,96,62.1360606096264,56.7974630104411,56.7484509964631,62.2140109091926,-39.6084594168366,-17.5432769963832,-14.8934665099482,-36.8899270818642
1,2.428,104,62.1360606096264,56.7974630104411,56.7484509964631,62.2140109091926,-39.6084594168366,-17.5432769963832,-14.8934665099482,-36.8899270818642
1,2.428,112,62.1360606096264,56.7974630104411,56.7484509964631,62.2140109091926,-39.6084594168366,-17.5432769963832,-14.8934665099482,-36.8899270818642
1,2.428,120,62.1360606096264,56.7974630104411,56.7484509964631,62.2140109091926,-39.6084594168366,-17.5432769963832,-14.8934665099482,-36.8899270818642
1,2.428,128,62.1360606096264,56.7974630104411,56.7484509964631,62.2140109091926,-39.6084594168366,-17.5432769963832,-14.8934665099482,-36.8899270818642
