"Time [us]","re(SP(DSi1)) [mV]","re(SP(DSi2)) [mV]","re(SP(DSi3)) [mV]","re(SP(DSi4)) [mV]","re(SP(DSq1)) [mV]","re(SP(DSq2)) [mV]","re(SP(DSq3)) [mV]","re(SP(DSq4)) [mV]"
0,10.5652200747352,-5.86956645019947,-14.8311615727255,16.9048383065359,-0.227987147115482,8.46129212696838,-8.69485254548841,-9.79106609465055
0.125,10.5652200747352,-5.86956645019947,-14.8311615727255,16.9048383065359,-0.227987147115482,8.46129212696838,-8.69485254548841,-9.79106609465055
0.25,10.5652200747352,-5.86956645019947,-14.8311615727255,16.9048383065359,-0.227987147115482,8.46129212696838,-8.69485254548841,-9.79106609465055
0.375,10.5652200747352,-5.86956645019947,-14.8311615727255,16.9048383065359,-0.227987147115482,8.46129212696838,-8.69485254548841,-9.79106609465055
0.5,10.5652200747352,-5.86956645019947,-14.8311615727255,16.9048383065359,-0.227987147115482,8.46129212696838,-8.69485254548841,-9.79106609465055
0.625,10.5652200747352,-5.86956645019947,-14.8311615727255,16.9048383065359,-0.227987147115482,8.46129212696838,-8.69485254548841,-9.79106609465055
0.75,10.5652200747352,-5.86956645019947,-14.8311615727255,16.9048383065359,-0.227987147115482,8.46129212696838,-8.69485254548841,-9.79106609465055
0.875,10.5652200747352,-5.86956645019947,-14.8311615727255,16.9048383065359,-0.227987147115482,8.46129212696838,-8.69485254548841,-9.79106609465055
1,-0.248030190378132,8.67100737614362,-8.87040657458967,-9.86504208928638,-10.8687618469715,5.98102522713263,15.2003355509129,-17.241707309534
1.125,-0.248030190378132,8.67100737614362,-8.87040657458967,-9.86504208928638,-10.8687618469715,5.98102522713263,15.2003355509129,-17.241707309534
1.25,-0.248030190378132,8.67100737614362,-8.87040657458967,-9.86504208928638,-10.8687618469715,5.98102522713263,15.2003355509129,-17.241707309534
1.375,-0.248030190378132,8.67100737614362,-8.87040657458967,-9.86504208928638,-10.8687618469715,5.98102522713263,15.2003355509129,-17.241707309534
1.5,-0.248030190378132,8.67100737614362,-8.87040657458967,-9.86504208928638,-10.8687618469715,5.98102522713263,15.2003355509129,-17.241707309534
1.625,-0.248030190378132,8.67100737614362,-8.87040657458967,-9.86504208928638,-10.8687618469715,5.98102522713263,15.2003355509129,-17.241707309534
1.75,-0.248030190378132,8.67100737614362,-8.87040657458967,-9.86504208928638,-10.8687618469715,5.98102522713263,15.2003355509129,-17.241707309534
1.875,-0.248030190378132,8.67100737614362,-8.87040657458967,-9.86504208928638,-10.8687618469715,5.98102522713263,15.2003355509129,-17.241707309534
2,-10.8828796453772,6.00208470380373,15.2018343778312,-17.2626460429815,0.225502652917748,-8.67115645355778,8.90723172945754,9.8415274561484
2.125,-10.8828796453772,6.00208470380373,15.2018343778312,-17.2626460429815,0.225502652917748,-8.67115645355778,8.90723172945754,9.8415274561484
2.25,-10.8828796453772,6.00208470380373,15.2018343778312,-17.2626460429815,0.225502652917748,-8.67115645355778,8.90723172945754,9.8415274561484
2.375,-10.8828796453772,6.00208470380373,15.2018343778312,-17.2626460429815,0.225502652917748,-8.67115645355778,8.90723172945754,9.8415274561484
2.5,-10.8828796453772,6.00208470380373,15.2018343778312,-17.2626460429815,0.225502652917748,-8.67115645355778,8.90723172945754,9.8415274561484
2.625,-10.8828796453772,6.00208470380373,15.2018343778312,-17.2626460429815,0.225502652917748,-8.67115645355778,8.90723172945754,9.8415274561484
2.75,-10.8828796453772,6.00208470380373,15.2018343778312,-17.2626460429815,0.225502652917748,-8.67115645355778,8.90723172945754,9.8415274561484
2.875,-10.8828796453772,6.00208470380373,15.2018343778312,-17.2626460429815,0.225502652917748,-8.67115645355778,8.90723172945754,9.8415274561484
3,0.215686155269655,-8.65972895972858,8.91155484648018,9.82788050667029,10.8719960077578,-6.00417703929151,-15.1819557166869,17.2518606239347
3.125,0.215686155269655,-8.65972895972858,8.91155484648018,9.82788050667029,10.8719960077578,-6.00417703929151,-15.1819557166869,17.2518606239347
3.25,0.215686155269655,-8.65972895972858,8.91155484648018,9.82788050667029,10.8719960077578,-6.00417703929151,-15.1819557166869,17.2518606239347
3.375,0.215686155269655,-8.65972895972858,8.91155484648018,9.82788050667029,10.8719960077578,-6.00417703929151,-15.1819557166869,17.2518606239347
3.5,0.215686155269655,-8.65972895972858,8.91155484648018,9.82788050667029,10.8719960077578,-6.00417703929151,-15.1819557166869,17.2518606239347
3.625,0.215686155269655,-8.65972895972858,8.91155484648018,9.82788050667029,10.8719960077578,-6.00417703929151,-15.1819557166869,17.2518606239347
3.75,0.215686155269655,-8.65972895972858,8.91155484648018,9.82788050667029,10.8719960077578,-6.00417703929151,-15.1819557166869,17.2518606239347
3.875,0.215686155269655,-8.65972895972858,8.91155484648018,9.82788050667029,10.8719960077578,-6.00417703929151,-15.1819557166869,17.2518606239347
4,10.8643515862243,-5.99637276924702,-15.1774695912779,17.2415478593181,-0.222536392149567,8.65742285179951,-8.89802609349732,-9.83438086611091
4.125,10.8643515862243,-5.99637276924702,-15.1774695912779,17.2415478593181,-0.222536392149567,8.65742285179951,-8.89802609349732,-9.83438086611091
4.25,10.8643515862243,-5.99637276924702,-15.1774695912779,17.2415478593181,-0.222536392149567,8.65742285179951,-8.89802609349732,-9.83438086611091
4.375,10.8643515862243,-5.99637276924702,-15.1774695912779,17.2415478593181,-0.222536392149567,8.65742285179951,-8.89802609349732,-9.83438086611091
4.5,10.8643515862243,-5.99637276924702,-15.1774695912779,17.2415478593181,-0.222536392149567,8.65742285179951,-8.89802609349732,-9.83438086611091
