"d_phi_p [deg]","Time [us]","re(SP(i1)) [mV]","re(SP(i2)) [mV]","re(SP(i3)) [mV]","re(SP(i4)) [mV]","re(SP(q1)) [mV]","re(SP(q2)) [mV]","re(SP(q3)) [mV]","re(SP(q4)) [mV]"
0,0,-6.44303410629119,3.05334315548802,6.67073687489937,-23.3046939395401,6.18368261484256,2.19825419412482,1.91073229473634,-1.81074976040264
0,8,-6.44320364247266,3.05333849467501,6.67079786406803,-23.3054003921393,6.18377588771755,2.19808464512846,1.91053079174612,-1.81087011387967
0,16,-6.44332389615934,3.05333521746533,6.6708412263256,-23.3059014250258,6.18384204826907,2.19796451533848,1.91038794420721,-1.81095546266928
0,24,-6.4434444592803,3.05333195574817,6.67088478501466,-23.306403696478,6.18390838004679,2.19784418703579,1.91024479613808,-1.81104101516267
0,32,-6.44361548951399,3.05332736973752,6.67094672262415,-23.3071161292842,6.18400247965951,2.19767367955819,1.91004184208929,-1.81116235218857
0,40,-6.44403094318982,3.05331642984007,6.67109788513317,-23.3088462933289,6.18423106754561,2.19726041937676,1.9095494030434,-1.81145696170486
0,48,-6.37721806217875,3.05195888189537,6.63768671090039,-23.0377726956468,6.14809479557714,2.252213733494,1.9804673661596,-1.76367047865486
0,56,-6.37721806217875,3.05195888189537,6.63768671090039,-23.0377726956468,6.14809479557714,2.252213733494,1.9804673661596,-1.76367047865486
0,64,-6.37721806217875,3.05195888189537,6.63768671090039,-23.0377726956468,6.14809479557714,2.252213733494,1.9804673661596,-1.76367047865486
0,72,-6.37721806217875,3.05195888189537,6.63768671090039,-23.0377726956468,6.14809479557714,2.252213733494,1.9804673661596,-1.76367047865486
0,80,-6.37721806217875,3.05195888189537,6.63768671090039,-23.0377726956468,6.14809479557714,2.252213733494,1.9804673661596,-1.76367047865486
0,88,-6.37721806217875,3.05195888189537,6.63768671090039,-23.0377726956468,6.14809479557714,2.252213733494,1.9804673661596,-1.76367047865486
0,96,-6.37721806217875,3.05195888189537,6.63768671090039,-23.0377726956468,6.14809479557714,2.252213733494,1.9804673661596,-1.76367047865486
0,104,-6.37721806217875,3.05195888189537,6.63768671090039,-23.0377726956468,6.14809479557714,2.252213733494,1.9804673661596,-1.76367047865486
0,112,-6.37721806217875,3.05195888189537,6.63768671090039,-23.0377726956468,6.14809479557714,2.252213733494,1.9804673661596,-1.76367047865486
0,120,-6.37721806217875,3.05195888189537,6.63768671090039,-23.0377726956468,6.14809479557714,2.252213733494,1.9804673661596,-1.76367047865486
0,128,-6.37721806217875,3.05195888189537,6.63768671090039,-23.0377726956468,6.14809479557714,2.252213733494,1.9804673661596,-1.76367047865486
0,136,-6.37721806217875,3.05195888189537,6.63768671090039,-23.0377726956468,6.14809479557714,2.252213733494,1.9804673661596,-1.76367047865486
1,0,-6.62792399131507,1.37112548128331,6.42716602255167,-30.3244764568253,8.07049353585808,0.000976204340683091,0.167343034354113,1.505251875508
1,8,-6.62809729555222,1.3711726433925,6.42732141926462,-30.3257009931054,8.07058107943118,0.000885624151143576,0.167224263993996,1.50508080668579
1,16,-6.62822022262471,1.37120608167112,6.42743172849931,-30.3265694025169,8.07064319490428,0.000821404589122479,0.167140005616708,1.50495950267759
1,24,-6.62834346657006,1.37123959412079,6.42754239209515,-30.3274399081668,8.07070548681689,0.000757044614705594,0.167055519367056,1.5048379171632
1,32,-6.62851830077582,1.37128711435221,6.42769949978522,-30.3286745657797,8.07079388230003,0.00066578646817185,0.166935648765854,1.50466548913676
1,40,-6.62894299955923,1.3714024476932,6.42808172226048,-30.331672545796,8.07100874482603,0.000444316545372426,0.166644377519998,1.50424689649232
1,48,-6.56055559249447,1.35386557105151,6.35950650084669,-29.8673171696413,8.03537844791123,0.0331664277415948,0.212941400607037,1.57196328576809
1,56,-6.56055559249447,1.35386557105151,6.35950650084669,-29.8673171696413,8.03537844791123,0.0331664277415948,0.212941400607037,1.57196328576809
1,64,-6.56055559249447,1.35386557105151,6.35950650084669,-29.8673171696413,8.03537844791123,0.0331664277415948,0.212941400607037,1.57196328576809
1,72,-6.56055559249447,1.35386557105151,6.35950650084669,-29.8673171696413,8.03537844791123,0.0331664277415948,0.212941400607037,1.57196328576809
1,80,-6.56055559249447,1.35386557105151,6.35950650084669,-29.8673171696413,8.03537844791123,0.0331664277415948,0.212941400607037,1.57196328576809
1,88,-6.56055559249447,1.35386557105151,6.35950650084669,-29.8673171696413,8.03537844791123,0.0331664277415948,0.212941400607037,1.57196328576809
1,96,-6.56055559249447,1.35386557105151,6.35950650084669,-29.8673171696413,8.03537844791123,0.0331664277415948,0.212941400607037,1.57196328576809
1,104,-6.56055559249447,1.35386557105151,6.35950650084669,-29.8673171696413,8.03537844791123,0.0331664277415948,0.212941400607037,1.57196328576809
1,112,-6.56055559249447,1.35386557105151,6.35950650084669,-29.8673171696413,8.03537844791123,0.0331664277415948,0.212941400607037,1.57196328576809
1,120,-6.56055559249447,1.35386557105151,6.35950650084669,-29.8673171696413,8.03537844791123,0.0331664277415948,0.212941400607037,1.57196328576809
1,128,-6.56055559249447,1.35386557105151,6.35950650084669,-29.8673171696413,8.03537844791123,0.0331664277415948,0.212941400607037,1.57196328576809
1,136,-6.56055559249447,1.35386557105151,6.35950650084669,-29.8673171696413,8.03537844791123,0.0331664277415948,0.212941400607037,1.57196328576809
2,0,-13.0085315492388,2.10620686070225,5.52199510489027,-33.3695623420789,14.3982429970669,-0.444326210078121,3.31435918469737,4.58236505085914
2,8,-13.0091408080314,2.10625334082987,5.52203550949577,-33.3709374855062,14.3987730726264,-0.444457052740231,3.31428048288285,4.58228265741931
2,16,-13.0095728830531,2.10628632544254,5.52206421709089,-33.3719126885529,14.3991489952495,-0.444549820066454,3.31422472952793,4.58222424949996
2,24,-13.0100060047595,2.10631940807635,5.52209303867723,-33.3728902347619,14.3995258309502,-0.444642792271355,3.31416889147031,4.58216572006079
2,32,-13.0106203172925,2.1063663614836,5.522133993673,-33.3742766917518,14.4000603151519,-0.444774624154641,3.31408978068598,4.58208273988479
2,40,-13.0121120139681,2.10648052705258,5.52223381410024,-33.3776431782171,14.401358190461,-0.445094577493738,3.31389810212288,4.58188141173071
2,48,-12.7786921315647,2.08635264310825,5.50157046317991,-32.8570025132602,14.2013941755305,-0.397597927456673,3.33810394794933,4.61550027792278
2,56,-12.7786921315647,2.08635264310825,5.50157046317991,-32.8570025132602,14.2013941755305,-0.397597927456673,3.33810394794933,4.61550027792278
2,64,-12.7786921315647,2.08635264310825,5.50157046317991,-32.8570025132602,14.2013941755305,-0.397597927456673,3.33810394794933,4.61550027792278
2,72,-12.7786921315647,2.08635264310825,5.50157046317991,-32.8570025132602,14.2013941755305,-0.397597927456673,3.33810394794933,4.61550027792278
2,80,-12.7786921315647,2.08635264310825,5.50157046317991,-32.8570025132602,14.2013941755305,-0.397597927456673,3.33810394794933,4.61550027792278
2,88,-12.7786921315647,2.08635264310825,5.50157046317991,-32.8570025132602,14.2013941755305,-0.397597927456673,3.33810394794933,4.61550027792278
2,96,-12.7786921315647,2.08635264310825,5.50157046317991,-32.8570025132602,14.2013941755305,-0.397597927456673,3.33810394794933,4.61550027792278
2,104,-12.7786921315647,2.08635264310825,5.50157046317991,-32.8570025132602,14.2013941755305,-0.397597927456673,3.33810394794933,4.61550027792278
2,112,-12.7786921315647,2.08635264310825,5.50157046317991,-32.8570025132602,14.2013941755305,-0.397597927456673,3.33810394794933,4.61550027792278
2,120,-12.7786921315647,2.08635264310825,5.50157046317991,-32.8570025132602,14.2013941755305,-0.397597927456673,3.33810394794933,4.61550027792278
2,128,-12.7786921315647,2.08635264310825,5.50157046317991,-32.8570025132602,14.2013941755305,-0.397597927456673,3.33810394794933,4.61550027792278
2,136,-12.7786921315647,2.08635264310825,5.50157046317991,-32.8570025132602,14.2013941755305,-0.397597927456673,3.33810394794933,4.61550027792278
3,0,-13.2941572942152,4.83241359745935,6.05797246659334,-36.3404445656873,16.0685679282475,2.25834893660209,3.16995998961634,7.84258893056432
3,8,-13.2947924837297,4.83251356383532,6.05800021419077,-36.3419675085725,16.0691818707901,2.25825739562753,3.1698832652153,7.84262056605586
3,16,-13.2952429460257,4.8325844884208,6.05801995783361,-36.3430475214248,16.0696172671631,2.25819250390061,3.1698289095436,7.8426430249529
